ID,Car,Model,Date of Manufacture,Net Sales (in Million $)
C101,Chevrolet,Malibu,2020,75.36
C102,Toyota,Corolla,2022,81.55
C103,Honda,Civic,2021,48.65
C104,Chevrolet,Impala,2024,40.96
C105,Land Rover,Range Rover,2024,86.86
C106,Honda,Civic,2020,26.65
C107,Audi,Q5,2020,30.36
C108,Porsche,Cayenne,2021,28.26
C109,Mazda,Mazda3,2024,91.88
C110,Nissan,Sentra,2021,58.33
C111,Hyundai,Elantra,2021,60.54
C112,Honda,Accord,2023,15.42
C113,Benz,C-Class,2022,69.65
C114,Porsche,Macan,2023,94.53
C115,Chevrolet,Impala,2020,89.05
C116,Hyundai,Sonata,2022,65.89
C117,Volvo,XC60,2024,15.11
C118,Volvo,S60,2024,5.05
C119,Subaru,Forester,2024,98.61
C120,Jeep,Grand Cherokee,2023,11.58
C121,Porsche,Cayenne,2022,16.95
C122,Volvo,S60,2023,62.63
C123,Audi,Q5,2024,56.23
C124,Audi,A4,2021,34.61
C125,Honda,Civic,2023,36.39
C126,Jeep,Wrangler,2022,43.67
C127,Honda,Accord,2020,67.08
C128,Porsche,Cayenne,2023,6.4
C129,Ford,Focus,2024,76.59
C130,Porsche,Macan,2020,73.25
